experiment_name,results_dir,factor_name,object_name,num_samples,R_error_deg,T_error_cm,ADD_m,ADD-S_m,ADD_0.1d,ADD-S_0.1d,SCE_cm,SNE_deg,Z_err_cm,success_SNE_15deg,visibility_ratio,occlusion_ratio
analysis_006_clutter,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_clutter/2026-04-02_19-56-11,clutter,006_mustard_bottle,20,29.458672714233398,1.2225416660308839,0.01990966796875,0.005867753920138717,0.95,1.0,1.2233665054945564,0.45647016364440895,0.668110086466186,1.0,1.0,0.0
analysis_006_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_occlusion/2026-04-02_19-57-54,occlusion,006_mustard_bottle,11,60.36765757474032,2.8993741924112495,0.04331692782315341,0.014097455070015924,0.6363636363636364,0.7272727272727273,2.983800035923859,20.936243632556284,1.4932514447718865,0.7272727272727273,0.6803807090739155,0.31961929092608465
analysis_006_v_l_c_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_v_l_c_occlusion/2026-04-02_19-58-55,viewpoint_lighting_clutter_occlusion,006_mustard_bottle,26,28.823680877685547,1.652492724932157,0.02277198204627404,0.007947636924332093,0.9615384615384616,0.9615384615384616,1.6353990470892006,3.5919764232910723,0.6691809714986755,0.9615384615384616,0.938617126928144,0.06138287307185592
analysis_010_viewpoint,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_viewpoint/2026-04-02_20-01-04,viewpoint,010_potted_meat_can,20,87.26378173828125,0.8634598821401596,0.05024261474609375,0.011762584235062023,0.0,1.0,5.492073022373841,87.26290859078912,2.6443687900900894,0.0,1.0,0.0
analysis_010_distance,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_distance/2026-04-02_20-02-27,distance,010_potted_meat_can,10,87.20709838867188,0.8800829529762269,0.0502227783203125,0.011778976177736364,0.0,1.0,5.52033528925129,87.20580623145875,2.050355005264284,0.0,1.0,0.0
analysis_010_lighting,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_lighting/2026-04-02_20-03-10,lighting,010_potted_meat_can,20,87.15510902404785,0.8338044673204422,0.05015869140625,0.011751307959765788,0.0,1.0,5.449848547083962,87.15398121992689,2.293309397995472,0.0,1.0,0.0
analysis_010_clutter,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_clutter/2026-04-02_20-04-34,clutter,010_potted_meat_can,20,87.06277580261231,0.8436823219060898,0.05010528564453125,0.011759293926504641,0.0,1.0,5.497439556702455,87.06121675131799,2.3088250324130053,0.0,1.0,0.0
analysis_010_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_occlusion/2026-04-02_20-05-53,occlusion,010_potted_meat_can,8,93.18016052246094,1.422543726861477,0.05429840087890625,0.013108039660635371,0.0,0.875,5.405230301450856,87.27616190664692,2.755494577810169,0.0,0.8643174591704004,0.13568254082959966
analysis_010_v_l_c_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_v_l_c_occlusion/2026-04-02_20-06-31,viewpoint_lighting_clutter_occlusion,010_potted_meat_can,24,87.20868269602458,0.8474710683027903,0.050205230712890625,0.011783345306050472,0.0,1.0,5.4985645359949205,87.20654950844977,2.4728638576343656,0.0,0.9445625692257593,0.05543743077424062
analysis_021_viewpoint,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_viewpoint/2026-04-02_20-08-05,viewpoint,021_bleach_cleanser,20,179.72979202270508,1.501504933834076,0.146142578125,0.009036239781475788,0.0,1.0,5.648173474903922,179.52173396247673,2.71002375013195,0.0,1.0,0.0
analysis_021_distance,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_distance/2026-04-02_20-09-24,distance,021_bleach_cleanser,10,179.50184173583983,1.4645503163337708,0.14605712890625,0.008943926314247593,0.0,1.0,5.717683430312833,179.36678692663185,3.2225114941597033,0.0,1.0,0.0
analysis_021_lighting,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_lighting/2026-04-02_20-10-08,lighting,021_bleach_cleanser,20,179.81817321777345,1.4538587152957916,0.1460693359375,0.008996550164895572,0.0,1.0,5.696690050747871,179.5853838864502,3.1181484170258047,0.0,1.0,0.0
analysis_021_clutter,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_clutter/2026-04-02_20-11-30,clutter,021_bleach_cleanser,20,179.79521636962892,1.4357031464576722,0.146038818359375,0.008951276541637139,0.0,1.0,5.721343643944339,179.4836348394629,3.132766158133746,0.0,1.0,0.0
analysis_021_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_occlusion/2026-04-02_20-12-50,occlusion,021_bleach_cleanser,8,179.57719612121582,1.4443925619125366,0.1460723876953125,0.009023199482419806,0.0,1.0,5.703653009364823,179.470551518738,3.3818434523418563,0.0,0.911167100130039,0.08883289986996099
analysis_021_v_l_c_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_v_l_c_occlusion/2026-04-02_20-13-27,viewpoint_lighting_clutter_occlusion,021_bleach_cleanser,26,179.72176771897537,1.4654608368873596,0.1461181640625,0.009040721029455303,0.0,1.0,5.684338128924427,179.5100595238898,2.263991271145643,0.0,0.9555114084721519,0.04448859152784805
